ID,first name,second name,email,ui_lang,ui_settings,employee_account,access_rights,logon_status,logon_last_modif
0,Elizabeth,Taylor,elizabeth.taylor0@gmail.com,tr,default,True,complete access,0,1620916420.38232
1,Milan,Wright,milan.wright1@gmail.com,it,default,False,complete access,2,1620916420.38232
2,Joshua,King,joshua.king2@gmail.com,zh,default,False,complete access,2,1620916420.38232
3,Yaya,King,yaya.king3@gmail.com,de,default,False,complete access,0,1620916420.38232
4,Susan,Butler,susan.butler4@gmail.com,mn,default,False,complete access,0,1620916420.38232
5,Brian,Bennett,brian.bennett5@gmail.com,uk,default,False,complete access,0,1620916420.38232
6,James,Edwards,james.edwards6@gmail.com,nl,default,False,complete access,0,1620916420.38232
7,Linda,Johnson,linda.johnson7@gmail.com,pt,default,False,complete access,0,1620916420.38232
8,Robert,Barnes,robert.barnes8@gmail.com,km,default,True,complete access,0,1620916420.38232
9,Linda,Chapman,linda.chapman9@gmail.com,sk,default,True,complete access,0,1620916420.38232
10,Cynthia,Martin,cynthia.martin10@gmail.com,ro,default,False,complete access,2,1620916420.38232
11,Joshua,Harris,joshua.harris11@gmail.com,km,default,True,complete access,2,1620916420.38232
12,Debra,Atkinson,debra.atkinson12@gmail.com,es,default,True,complete access,0,1620916420.38232
13,Alexander,Booth,alexander.booth13@gmail.com,de,default,True,complete access,2,1620916420.38232
14,Steven,Brooks,steven.brooks14@gmail.com,de,default,True,complete access,0,1620916420.38232
15,Frank,Davidson,frank.davidson15@gmail.com,ja,default,True,complete access,0,1620916420.38232
16,Deborah,Davis,deborah.davis16@gmail.com,pl,default,False,complete access,2,1620916420.38232
17,Daniel,Lewis,daniel.lewis17@gmail.com,pl,default,True,complete access,0,1620916420.38232
18,Samantha,Baker,samantha.baker18@gmail.com,zh,default,False,complete access,0,1620916420.38232
19,Tyler,Barker,tyler.barker19@gmail.com,en,default,True,complete access,0,1620916420.38232
20,Lisa,Green,lisa.green20@gmail.com,ru,default,True,complete access,0,1620916420.38232
21,Raymond,Brown,raymond.brown21@gmail.com,km,default,True,complete access,0,1620916420.38232
22,Katherine,Young,katherine.young22@gmail.com,nl,default,False,complete access,2,1620916420.38232
23,John,Robinson,john.robinson23@gmail.com,en,default,True,complete access,0,1620916420.38232
24,Luke,Young,luke.young24@gmail.com,ja,default,True,complete access,0,1620916420.38232
25,Jack,Armstrong,jack.armstrong25@gmail.com,ja,default,True,complete access,2,1620916420.38232
26,Sandra,Brooks,sandra.brooks26@gmail.com,zh,default,True,complete access,2,1620916420.38232
27,Catherine,Lewis,catherine.lewis27@gmail.com,it,default,True,complete access,2,1620916420.38232
28,Krystof,Clark,krystof.clark28@gmail.com,fr,default,False,complete access,2,1620916420.38232
29,Catherine,Baker,catherine.baker29@gmail.com,uk,default,True,complete access,0,1620916420.38232
30,Jeffrey,Cook,jeffrey.cook30@gmail.com,mn,default,False,complete access,2,1620916420.38232
31,Joshua,Armstrong,joshua.armstrong31@gmail.com,ru,default,True,complete access,2,1620916420.38232
32,Milan,Robinson,milan.robinson32@gmail.com,it,default,True,complete access,2,1620916420.38232
33,Michael,Cooper,michael.cooper33@gmail.com,es,default,False,complete access,0,1620916420.38232
34,Luke,Armstrong,luke.armstrong34@gmail.com,sk,default,True,complete access,2,1620916420.38232
35,Debra,Roberts,debra.roberts35@gmail.com,ja,default,False,complete access,2,1620916420.38232
36,Oto,Davis,oto.davis36@gmail.com,tr,default,False,complete access,2,1620916420.38232
37,Carolyn,Clarke,carolyn.clarke37@gmail.com,es,default,False,complete access,0,1620916420.38232
38,Michael,Ball,michael.ball38@gmail.com,zh,default,False,complete access,0,1620916420.38232
39,Thomas,Clark,thomas.clark39@gmail.com,fr,default,True,complete access,0,1620916420.38232
40,Samuel,Burton,samuel.burton40@gmail.com,tr,default,False,complete access,2,1620916420.38232
41,Luke,Edwards,luke.edwards41@gmail.com,en,default,True,complete access,2,1620916420.38232
42,Rachel,Jones,rachel.jones42@gmail.com,es,default,True,complete access,2,1620916420.38232
43,Barbara,Johnson,barbara.johnson43@gmail.com,en,default,True,complete access,2,1620916420.38232
44,Gregory,Butler,gregory.butler44@gmail.com,ja,default,False,complete access,2,1620916420.38232
45,Alexander,Wright,alexander.wright45@gmail.com,cz,default,True,complete access,0,1620916420.38232
46,Jeffrey,Wilson,jeffrey.wilson46@gmail.com,ro,default,True,complete access,2,1620916420.38232
47,Linda,Roberts,linda.roberts47@gmail.com,km,default,True,complete access,2,1620916420.38232
48,Frank,Taylor,frank.taylor48@gmail.com,it,default,True,complete access,0,1620916420.38232
49,Steven,Lewis,steven.lewis49@gmail.com,ru,default,False,complete access,2,1620916420.38232
50,Krystof,Burton,krystof.burton50@gmail.com,ro,default,False,complete access,0,1620916420.38232
51,Steven,Davis,steven.davis51@gmail.com,sk,default,True,complete access,2,1620916420.38232
52,Elizabeth,Harris,elizabeth.harris52@gmail.com,pt,default,True,complete access,2,1620916420.38232
53,Ruth,King,ruth.king53@gmail.com,de,default,True,complete access,0,1620916420.38232
54,Zuzana,Brown,zuzana.brown54@gmail.com,mn,default,False,complete access,2,1620916420.38232
55,Rachel,White,rachel.white55@gmail.com,de,default,True,complete access,0,1620916420.38232
56,Cynthia,Lewis,cynthia.lewis56@gmail.com,cz,default,True,complete access,2,1620916420.38232
57,Milana,Jones,milana.jones57@gmail.com,it,default,False,complete access,2,1620916420.38232
58,Patricia,Armstrong,patricia.armstrong58@gmail.com,cz,default,False,complete access,2,1620916420.38232
59,James,Cook,james.cook59@gmail.com,nl,default,False,complete access,2,1620916420.38232
60,Milan,Green,milan.green60@gmail.com,tr,default,True,complete access,0,1620916420.38232
61,Virginia,Evans,virginia.evans61@gmail.com,en,default,True,complete access,2,1620916420.38232
62,Emma,Burton,emma.burton62@gmail.com,de,default,False,complete access,2,1620916420.38232
63,Tyler,Phillips,tyler.phillips63@gmail.com,km,default,True,complete access,2,1620916420.38232
64,Debra,Baker,debra.baker64@gmail.com,pl,default,False,complete access,2,1620916420.38232
65,Charles,Baker,charles.baker65@gmail.com,fr,default,True,complete access,0,1620916420.38232
66,Rachel,Smith,rachel.smith66@gmail.com,nl,default,False,complete access,0,1620916420.38232
67,Jozef,Clarke,jozef.clarke67@gmail.com,fr,default,True,complete access,0,1620916420.38232
68,Nancy,Hall,nancy.hall68@gmail.com,es,default,False,complete access,2,1620916420.38232
